population,median_income,poverty_pop,NAME,state,county,tract,geoid
4284.0,68196.0,815.0,Census Tract 101; Cook County; Illinois,17,31,10100,17031010100
8210.0,61071.0,2756.0,Census Tract 102.01; Cook County; Illinois,17,31,10201,17031010201
2865.0,58698.0,609.0,Census Tract 102.02; Cook County; Illinois,17,31,10202,17031010202
6237.0,68336.0,344.0,Census Tract 103; Cook County; Illinois,17,31,10300,17031010300
4473.0,48630.0,568.0,Census Tract 104; Cook County; Illinois,17,31,10400,17031010400
3913.0,47858.0,422.0,Census Tract 105.01; Cook County; Illinois,17,31,10501,17031010501
3407.0,55813.0,890.0,Census Tract 105.02; Cook County; Illinois,17,31,10502,17031010502
2417.0,18750.0,1255.0,Census Tract 105.03; Cook County; Illinois,17,31,10503,17031010503
6379.0,66313.0,914.0,Census Tract 106; Cook County; Illinois,17,31,10600,17031010600
3590.0,70542.0,270.0,Census Tract 107.01; Cook County; Illinois,17,31,10701,17031010701
5148.0,52193.0,1013.0,Census Tract 107.02; Cook County; Illinois,17,31,10702,17031010702
3927.0,57029.0,735.0,Census Tract 201; Cook County; Illinois,17,31,20100,17031020100
7203.0,117005.0,500.0,Census Tract 202; Cook County; Illinois,17,31,20200,17031020200
5432.0,73539.0,610.0,Census Tract 203.01; Cook County; Illinois,17,31,20301,17031020301
5201.0,84205.0,298.0,Census Tract 203.02; Cook County; Illinois,17,31,20302,17031020302
4256.0,76607.0,602.0,Census Tract 204; Cook County; Illinois,17,31,20400,17031020400
6646.0,43948.0,2009.0,Census Tract 205; Cook County; Illinois,17,31,20500,17031020500
5868.0,61046.0,1444.0,Census Tract 206.01; Cook County; Illinois,17,31,20601,17031020601
5343.0,83839.0,654.0,Census Tract 206.02; Cook County; Illinois,17,31,20602,17031020602
1728.0,92024.0,146.0,Census Tract 207.01; Cook County; Illinois,17,31,20701,17031020701
8412.0,68897.0,1665.0,Census Tract 207.02; Cook County; Illinois,17,31,20702,17031020702
5990.0,71953.0,753.0,Census Tract 208.01; Cook County; Illinois,17,31,20801,17031020801
8715.0,62212.0,1608.0,Census Tract 208.02; Cook County; Illinois,17,31,20802,17031020802
6179.0,50243.0,1287.0,Census Tract 209.01; Cook County; Illinois,17,31,20901,17031020901
4365.0,49432.0,958.0,Census Tract 209.02; Cook County; Illinois,17,31,20902,17031020902
3517.0,50696.0,721.0,Census Tract 301.01; Cook County; Illinois,17,31,30101,17031030101
3052.0,55067.0,797.0,Census Tract 301.02; Cook County; Illinois,17,31,30102,17031030102
2297.0,53684.0,355.0,Census Tract 301.03; Cook County; Illinois,17,31,30103,17031030103
3106.0,45865.0,480.0,Census Tract 301.04; Cook County; Illinois,17,31,30104,17031030104
5554.0,91406.0,673.0,Census Tract 302; Cook County; Illinois,17,31,30200,17031030200
3642.0,64662.0,555.0,Census Tract 303; Cook County; Illinois,17,31,30300,17031030300
2822.0,97143.0,366.0,Census Tract 304; Cook County; Illinois,17,31,30400,17031030400
6344.0,109375.0,292.0,Census Tract 305; Cook County; Illinois,17,31,30500,17031030500
3771.0,51808.0,671.0,Census Tract 306.01; Cook County; Illinois,17,31,30601,17031030601
2305.0,54300.0,360.0,Census Tract 306.03; Cook County; Illinois,17,31,30603,17031030603
2921.0,49816.0,538.0,Census Tract 306.04; Cook County; Illinois,17,31,30604,17031030604
1509.0,47614.0,355.0,Census Tract 307.01; Cook County; Illinois,17,31,30701,17031030701
2266.0,69050.0,390.0,Census Tract 307.02; Cook County; Illinois,17,31,30702,17031030702
3093.0,56667.0,777.0,Census Tract 307.03; Cook County; Illinois,17,31,30703,17031030703
2588.0,54143.0,144.0,Census Tract 307.06; Cook County; Illinois,17,31,30706,17031030706
4236.0,96069.0,431.0,Census Tract 308; Cook County; Illinois,17,31,30800,17031030800
3076.0,102309.0,180.0,Census Tract 309; Cook County; Illinois,17,31,30900,17031030900
3652.0,121026.0,231.0,Census Tract 310; Cook County; Illinois,17,31,31000,17031031000
4898.0,79010.0,743.0,Census Tract 311; Cook County; Illinois,17,31,31100,17031031100
5936.0,24389.0,2035.0,Census Tract 312; Cook County; Illinois,17,31,31200,17031031200
6853.0,64598.0,1075.0,Census Tract 313; Cook County; Illinois,17,31,31300,17031031300
4685.0,82526.0,223.0,Census Tract 314; Cook County; Illinois,17,31,31400,17031031400
4640.0,48889.0,2133.0,Census Tract 315.01; Cook County; Illinois,17,31,31501,17031031501
4622.0,47188.0,1291.0,Census Tract 315.02; Cook County; Illinois,17,31,31502,17031031502
6119.0,84766.0,841.0,Census Tract 317; Cook County; Illinois,17,31,31700,17031031700
2114.0,80873.0,262.0,Census Tract 318; Cook County; Illinois,17,31,31800,17031031800
2417.0,93864.0,43.0,Census Tract 319; Cook County; Illinois,17,31,31900,17031031900
7279.0,69313.0,1203.0,Census Tract 321; Cook County; Illinois,17,31,32100,17031032100
4011.0,93576.0,285.0,Census Tract 401; Cook County; Illinois,17,31,40100,17031040100
6688.0,99624.0,269.0,Census Tract 402.01; Cook County; Illinois,17,31,40201,17031040201
7965.0,58293.0,1523.0,Census Tract 402.02; Cook County; Illinois,17,31,40202,17031040202
3063.0,86979.0,406.0,Census Tract 403; Cook County; Illinois,17,31,40300,17031040300
3431.0,107083.0,153.0,Census Tract 404.01; Cook County; Illinois,17,31,40401,17031040401
4581.0,94132.0,326.0,Census Tract 404.02; Cook County; Illinois,17,31,40402,17031040402
2785.0,97596.0,225.0,Census Tract 406; Cook County; Illinois,17,31,40600,17031040600
3749.0,105400.0,326.0,Census Tract 407; Cook County; Illinois,17,31,40700,17031040700
1577.0,105500.0,75.0,Census Tract 408; Cook County; Illinois,17,31,40800,17031040800
2006.0,79803.0,91.0,Census Tract 409; Cook County; Illinois,17,31,40900,17031040900
2513.0,123929.0,107.0,Census Tract 501; Cook County; Illinois,17,31,50100,17031050100
5546.0,138546.0,301.0,Census Tract 502; Cook County; Illinois,17,31,50200,17031050200
2829.0,163625.0,129.0,Census Tract 503; Cook County; Illinois,17,31,50300,17031050300
5199.0,142548.0,96.0,Census Tract 505; Cook County; Illinois,17,31,50500,17031050500
2232.0,109188.0,105.0,Census Tract 506; Cook County; Illinois,17,31,50600,17031050600
1456.0,125438.0,139.0,Census Tract 507; Cook County; Illinois,17,31,50700,17031050700
1398.0,172888.0,10.0,Census Tract 508; Cook County; Illinois,17,31,50800,17031050800
1388.0,130769.0,31.0,Census Tract 509; Cook County; Illinois,17,31,50900,17031050900
1707.0,180500.0,58.0,Census Tract 510; Cook County; Illinois,17,31,51000,17031051000
1905.0,159145.0,148.0,Census Tract 511; Cook County; Illinois,17,31,51100,17031051100
1576.0,166771.0,91.0,Census Tract 512; Cook County; Illinois,17,31,51200,17031051200
3077.0,218403.0,61.0,Census Tract 513; Cook County; Illinois,17,31,51300,17031051300
2535.0,154044.0,256.0,Census Tract 514; Cook County; Illinois,17,31,51400,17031051400
3178.0,135272.0,89.0,Census Tract 601; Cook County; Illinois,17,31,60100,17031060100
2147.0,89167.0,169.0,Census Tract 602; Cook County; Illinois,17,31,60200,17031060200
2821.0,140125.0,111.0,Census Tract 603; Cook County; Illinois,17,31,60300,17031060300
3691.0,162011.0,103.0,Census Tract 604; Cook County; Illinois,17,31,60400,17031060400
1287.0,54250.0,348.0,Census Tract 605; Cook County; Illinois,17,31,60500,17031060500
5319.0,81156.0,378.0,Census Tract 608; Cook County; Illinois,17,31,60800,17031060800
6943.0,83601.0,513.0,Census Tract 609; Cook County; Illinois,17,31,60900,17031060900
2324.0,127872.0,355.0,Census Tract 610; Cook County; Illinois,17,31,61000,17031061000
1436.0,108158.0,80.0,Census Tract 611; Cook County; Illinois,17,31,61100,17031061100
2052.0,109479.0,145.0,Census Tract 612; Cook County; Illinois,17,31,61200,17031061200
2023.0,133000.0,147.0,Census Tract 615; Cook County; Illinois,17,31,61500,17031061500
1204.0,69250.0,152.0,Census Tract 618; Cook County; Illinois,17,31,61800,17031061800
3517.0,61563.0,723.0,Census Tract 619.01; Cook County; Illinois,17,31,61901,17031061901
4938.0,86805.0,365.0,Census Tract 619.02; Cook County; Illinois,17,31,61902,17031061902
2890.0,110250.0,153.0,Census Tract 620; Cook County; Illinois,17,31,62000,17031062000
3646.0,99212.0,308.0,Census Tract 621; Cook County; Illinois,17,31,62100,17031062100
3152.0,198333.0,242.0,Census Tract 622; Cook County; Illinois,17,31,62200,17031062200
1609.0,227750.0,69.0,Census Tract 623; Cook County; Illinois,17,31,62300,17031062300
1799.0,162500.0,86.0,Census Tract 624; Cook County; Illinois,17,31,62400,17031062400
1420.0,145903.0,200.0,Census Tract 625; Cook County; Illinois,17,31,62500,17031062500
2371.0,195357.0,63.0,Census Tract 626; Cook County; Illinois,17,31,62600,17031062600
3046.0,151080.0,227.0,Census Tract 627; Cook County; Illinois,17,31,62700,17031062700
3682.0,166538.0,144.0,Census Tract 628; Cook County; Illinois,17,31,62800,17031062800
4138.0,159088.0,136.0,Census Tract 629; Cook County; Illinois,17,31,62900,17031062900
3280.0,104052.0,294.0,Census Tract 630; Cook County; Illinois,17,31,63000,17031063000
2352.0,99483.0,174.0,Census Tract 631; Cook County; Illinois,17,31,63100,17031063100
6380.0,81020.0,112.0,Census Tract 632; Cook County; Illinois,17,31,63200,17031063200
2992.0,66447.0,621.0,Census Tract 633.01; Cook County; Illinois,17,31,63301,17031063301
4102.0,94173.0,188.0,Census Tract 633.02; Cook County; Illinois,17,31,63302,17031063302
1198.0,102500.0,111.0,Census Tract 633.03; Cook County; Illinois,17,31,63303,17031063303
2435.0,95833.0,140.0,Census Tract 634; Cook County; Illinois,17,31,63400,17031063400
4583.0,93523.0,479.0,Census Tract 701.01; Cook County; Illinois,17,31,70101,17031070101
2980.0,92641.0,169.0,Census Tract 701.02; Cook County; Illinois,17,31,70102,17031070102
1439.0,78125.0,218.0,Census Tract 701.03; Cook County; Illinois,17,31,70103,17031070103
4019.0,108083.0,207.0,Census Tract 702; Cook County; Illinois,17,31,70200,17031070200
3818.0,191051.0,464.0,Census Tract 703; Cook County; Illinois,17,31,70300,17031070300
3421.0,243795.0,357.0,Census Tract 704; Cook County; Illinois,17,31,70400,17031070400
3185.0,186757.0,47.0,Census Tract 705; Cook County; Illinois,17,31,70500,17031070500
3194.0,250001.0,182.0,Census Tract 706; Cook County; Illinois,17,31,70600,17031070600
3741.0,160000.0,256.0,Census Tract 707; Cook County; Illinois,17,31,70700,17031070700
4525.0,202115.0,260.0,Census Tract 710; Cook County; Illinois,17,31,71000,17031071000
3186.0,206304.0,101.0,Census Tract 711; Cook County; Illinois,17,31,71100,17031071100
2386.0,125581.0,337.0,Census Tract 712; Cook County; Illinois,17,31,71200,17031071200
4129.0,118878.0,604.0,Census Tract 713; Cook County; Illinois,17,31,71300,17031071300
4763.0,118295.0,809.0,Census Tract 714; Cook County; Illinois,17,31,71400,17031071400
5991.0,115993.0,307.0,Census Tract 715; Cook County; Illinois,17,31,71500,17031071500
1903.0,230313.0,120.0,Census Tract 716; Cook County; Illinois,17,31,71600,17031071600
1485.0,149625.0,124.0,Census Tract 717; Cook County; Illinois,17,31,71700,17031071700
2726.0,211964.0,110.0,Census Tract 718; Cook County; Illinois,17,31,71800,17031071800
6607.0,114681.0,504.0,Census Tract 801; Cook County; Illinois,17,31,80100,17031080100
3236.0,112708.0,64.0,Census Tract 802.01; Cook County; Illinois,17,31,80201,17031080201
3800.0,103948.0,381.0,Census Tract 802.02; Cook County; Illinois,17,31,80202,17031080202
5836.0,157112.0,518.0,Census Tract 803; Cook County; Illinois,17,31,80300,17031080300
4888.0,,1045.0,Census Tract 804; Cook County; Illinois,17,31,80400,17031080400
8150.0,79556.0,1295.0,Census Tract 810; Cook County; Illinois,17,31,81000,17031081000
4455.0,82039.0,829.0,Census Tract 811; Cook County; Illinois,17,31,81100,17031081100
4428.0,128955.0,155.0,Census Tract 812.01; Cook County; Illinois,17,31,81201,17031081201
3437.0,177619.0,123.0,Census Tract 812.02; Cook County; Illinois,17,31,81202,17031081202
6014.0,116424.0,561.0,Census Tract 813; Cook County; Illinois,17,31,81300,17031081300
2171.0,74432.0,198.0,Census Tract 814.01; Cook County; Illinois,17,31,81401,17031081401
5942.0,159026.0,610.0,Census Tract 814.02; Cook County; Illinois,17,31,81402,17031081402
8987.0,114052.0,1178.0,Census Tract 814.03; Cook County; Illinois,17,31,81403,17031081403
4906.0,151626.0,330.0,Census Tract 815; Cook County; Illinois,17,31,81500,17031081500
3725.0,157623.0,141.0,Census Tract 816; Cook County; Illinois,17,31,81600,17031081600
5217.0,132903.0,420.0,Census Tract 817; Cook County; Illinois,17,31,81700,17031081700
12213.0,164091.0,699.0,Census Tract 818; Cook County; Illinois,17,31,81800,17031081800
1111.0,195083.0,173.0,Census Tract 819; Cook County; Illinois,17,31,81900,17031081900
3526.0,124667.0,336.0,Census Tract 901; Cook County; Illinois,17,31,90100,17031090100
6505.0,119421.0,284.0,Census Tract 902; Cook County; Illinois,17,31,90200,17031090200
1371.0,107639.0,106.0,Census Tract 903; Cook County; Illinois,17,31,90300,17031090300
5890.0,109111.0,636.0,Census Tract 1001; Cook County; Illinois,17,31,100100,17031100100
7564.0,107850.0,475.0,Census Tract 1002; Cook County; Illinois,17,31,100200,17031100200
6447.0,83271.0,663.0,Census Tract 1003; Cook County; Illinois,17,31,100300,17031100300
3325.0,143137.0,69.0,Census Tract 1004; Cook County; Illinois,17,31,100400,17031100400
5814.0,109564.0,76.0,Census Tract 1005; Cook County; Illinois,17,31,100500,17031100500
4914.0,84000.0,515.0,Census Tract 1006; Cook County; Illinois,17,31,100600,17031100600
5372.0,117240.0,488.0,Census Tract 1007; Cook County; Illinois,17,31,100700,17031100700
5776.0,96514.0,655.0,Census Tract 1101; Cook County; Illinois,17,31,110100,17031110100
2821.0,68824.0,199.0,Census Tract 1102; Cook County; Illinois,17,31,110200,17031110200
5304.0,115833.0,427.0,Census Tract 1103; Cook County; Illinois,17,31,110300,17031110300
4501.0,81250.0,322.0,Census Tract 1104; Cook County; Illinois,17,31,110400,17031110400
5097.0,101220.0,414.0,Census Tract 1105.01; Cook County; Illinois,17,31,110501,17031110501
3533.0,71440.0,366.0,Census Tract 1105.02; Cook County; Illinois,17,31,110502,17031110502
4400.0,160461.0,88.0,Census Tract 1201; Cook County; Illinois,17,31,120100,17031120100
4573.0,149306.0,80.0,Census Tract 1202; Cook County; Illinois,17,31,120200,17031120200
7046.0,140988.0,212.0,Census Tract 1203; Cook County; Illinois,17,31,120300,17031120300
3836.0,111750.0,403.0,Census Tract 1204; Cook County; Illinois,17,31,120400,17031120400
4895.0,58068.0,937.0,Census Tract 1301; Cook County; Illinois,17,31,130100,17031130100
1545.0,104107.0,117.0,Census Tract 1302; Cook County; Illinois,17,31,130200,17031130200
5040.0,66154.0,556.0,Census Tract 1303; Cook County; Illinois,17,31,130300,17031130300
3520.0,86795.0,334.0,Census Tract 1401; Cook County; Illinois,17,31,140100,17031140100
6603.0,72629.0,979.0,Census Tract 1402; Cook County; Illinois,17,31,140200,17031140200
2908.0,69712.0,594.0,Census Tract 1403.01; Cook County; Illinois,17,31,140301,17031140301
3311.0,62478.0,395.0,Census Tract 1403.02; Cook County; Illinois,17,31,140302,17031140302
5911.0,93036.0,495.0,Census Tract 1404; Cook County; Illinois,17,31,140400,17031140400
3171.0,73273.0,191.0,Census Tract 1405; Cook County; Illinois,17,31,140500,17031140500
2762.0,87045.0,317.0,Census Tract 1406.01; Cook County; Illinois,17,31,140601,17031140601
4703.0,59962.0,1325.0,Census Tract 1406.02; Cook County; Illinois,17,31,140602,17031140602
2990.0,92212.0,192.0,Census Tract 1407.01; Cook County; Illinois,17,31,140701,17031140701
5572.0,73571.0,699.0,Census Tract 1407.02; Cook County; Illinois,17,31,140702,17031140702
6212.0,97722.0,647.0,Census Tract 1408; Cook County; Illinois,17,31,140800,17031140800
7263.0,91038.0,1165.0,Census Tract 1502; Cook County; Illinois,17,31,150200,17031150200
7272.0,86290.0,460.0,Census Tract 1503; Cook County; Illinois,17,31,150300,17031150300
5146.0,77908.0,515.0,Census Tract 1504.01; Cook County; Illinois,17,31,150401,17031150401
3945.0,97986.0,303.0,Census Tract 1504.02; Cook County; Illinois,17,31,150402,17031150402
3854.0,122434.0,189.0,Census Tract 1505.01; Cook County; Illinois,17,31,150501,17031150501
3953.0,72500.0,287.0,Census Tract 1505.02; Cook County; Illinois,17,31,150502,17031150502
4223.0,81923.0,300.0,Census Tract 1506; Cook County; Illinois,17,31,150600,17031150600
4453.0,100862.0,293.0,Census Tract 1507; Cook County; Illinois,17,31,150700,17031150700
4668.0,85714.0,656.0,Census Tract 1508; Cook County; Illinois,17,31,150800,17031150800
2816.0,93879.0,301.0,Census Tract 1510.01; Cook County; Illinois,17,31,151001,17031151001
4892.0,75893.0,536.0,Census Tract 1510.02; Cook County; Illinois,17,31,151002,17031151002
5447.0,77521.0,609.0,Census Tract 1511; Cook County; Illinois,17,31,151100,17031151100
4057.0,88939.0,386.0,Census Tract 1512; Cook County; Illinois,17,31,151200,17031151200
2757.0,107137.0,144.0,Census Tract 1601; Cook County; Illinois,17,31,160100,17031160100
3356.0,124364.0,44.0,Census Tract 1602; Cook County; Illinois,17,31,160200,17031160200
3685.0,77721.0,605.0,Census Tract 1603; Cook County; Illinois,17,31,160300,17031160300
5171.0,72325.0,576.0,Census Tract 1604; Cook County; Illinois,17,31,160400,17031160400
