population,median_income,poverty_pop,NAME,state,county,tract,geoid
4284,68196,815,Census Tract 101; Cook County; Illinois,17,031,010100,17031010100
8210,61071,2756,Census Tract 102.01; Cook County; Illinois,17,031,010201,17031010201
2865,58698,609,Census Tract 102.02; Cook County; Illinois,17,031,010202,17031010202
6237,68336,344,Census Tract 103; Cook County; Illinois,17,031,010300,17031010300
4473,48630,568,Census Tract 104; Cook County; Illinois,17,031,010400,17031010400
3913,47858,422,Census Tract 105.01; Cook County; Illinois,17,031,010501,17031010501
3407,55813,890,Census Tract 105.02; Cook County; Illinois,17,031,010502,17031010502
2417,18750,1255,Census Tract 105.03; Cook County; Illinois,17,031,010503,17031010503
6379,66313,914,Census Tract 106; Cook County; Illinois,17,031,010600,17031010600
3590,70542,270,Census Tract 107.01; Cook County; Illinois,17,031,010701,17031010701
5148,52193,1013,Census Tract 107.02; Cook County; Illinois,17,031,010702,17031010702
3927,57029,735,Census Tract 201; Cook County; Illinois,17,031,020100,17031020100
7203,117005,500,Census Tract 202; Cook County; Illinois,17,031,020200,17031020200
5432,73539,610,Census Tract 203.01; Cook County; Illinois,17,031,020301,17031020301
5201,84205,298,Census Tract 203.02; Cook County; Illinois,17,031,020302,17031020302
4256,76607,602,Census Tract 204; Cook County; Illinois,17,031,020400,17031020400
6646,43948,2009,Census Tract 205; Cook County; Illinois,17,031,020500,17031020500
5868,61046,1444,Census Tract 206.01; Cook County; Illinois,17,031,020601,17031020601
5343,83839,654,Census Tract 206.02; Cook County; Illinois,17,031,020602,17031020602
1728,92024,146,Census Tract 207.01; Cook County; Illinois,17,031,020701,17031020701
8412,68897,1665,Census Tract 207.02; Cook County; Illinois,17,031,020702,17031020702
5990,71953,753,Census Tract 208.01; Cook County; Illinois,17,031,020801,17031020801
8715,62212,1608,Census Tract 208.02; Cook County; Illinois,17,031,020802,17031020802
6179,50243,1287,Census Tract 209.01; Cook County; Illinois,17,031,020901,17031020901
4365,49432,958,Census Tract 209.02; Cook County; Illinois,17,031,020902,17031020902
3517,50696,721,Census Tract 301.01; Cook County; Illinois,17,031,030101,17031030101
3052,55067,797,Census Tract 301.02; Cook County; Illinois,17,031,030102,17031030102
